hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
500928010,,12,12,12,16,,16,,8,8,8,8,,8,,8,8,8,8,,8,0
500928020,16,12,16,12,16,,16,8,8,8,8,8,,8,8,8,8,4,8,,8,0
500930010,1,13,,,1,2,2,1,5,,,1,2,2,1,5,,,1,2,2,0
500931010,6,10,8,16,16,16,16,2,6,4,8,8,8,8,2,2,4,8,8,8,8,0
500940010,14,11,15,15,16,7,12,6,7,7,7,8,3,8,6,3,7,7,8,3,4,0
500942010,2,12,12,8,16,16,16,2,8,8,4,8,8,8,2,4,4,4,8,8,8,0
500942011,16,8,16,16,16,12,16,8,4,8,8,8,8,8,8,4,8,8,8,4,8,0
500946010,5,12,12,5,1,6,6,1,8,8,1,1,2,2,1,8,8,1,1,2,2,0
500950010,,12,10,12,14,4,12,,8,6,8,6,4,8,,4,2,8,6,4,8,0
500951010,2,2,1,2,1,,1,2,2,1,2,1,,1,2,2,1,2,1,,1,0
500952010,5,1,5,5,6,,6,1,1,1,1,2,,2,1,1,1,1,2,,2,0
500953010,4,10,4,2,10,3,,4,6,4,2,6,3,,4,2,4,2,6,3,,0
500974010,16,16,,,,10,,8,8,,,,6,,8,8,,,,6,,0
500974011,16,16,12,16,16,16,,8,8,8,8,8,8,,8,8,8,8,8,8,,0
500975010,1,2,1,2,,,,1,2,1,2,,,,1,2,1,2,,,,0
500975020,2,2,2,2,,,,2,2,2,2,,,,2,2,2,2,,,,0
500983010,12,2,10,14,14,10,2,8,2,6,6,6,6,2,4,2,6,6,6,2,2,0
500983011,4,4,10,10,14,2,10,4,4,6,6,6,2,6,4,4,6,6,6,2,2,0
501002010,5,6,2,2,2,10,,1,2,2,2,2,6,,1,2,2,2,2,2,,0
501009010,14,16,16,16,12,16,16,6,8,8,8,8,8,8,6,8,8,8,8,8,8,0
501009020,16,12,12,12,12,12,16,8,8,8,8,8,8,8,8,8,4,8,8,8,8,0
